S0,E0,I0,R0
0.23004041859013385,0.3057167892859375,0.32608094999483506,0.13816184212909358
0.46120051338625173,0.27029667808003477,0.13045555724895244,0.13804725128476106
0.15300058446942877,0.12032236732614784,0.42708579696413396,0.29959125124028935
0.28980306070763695,0.2509260246906479,0.24203655504792876,0.21723435955378648
0.16793362726303432,0.30112821459873534,0.4643168782035283,0.06662127993470196
0.36170215619029233,0.19314270793791002,0.3190496128603513,0.12610552301144629
0.1420923119432497,0.38877823222544455,0.014091022982631924,0.45503843284867385
0.49298798444917413,0.15451504327311866,0.050714355907153195,0.3017826163705539
0.4209523585140914,0.055001054207596545,0.12776891201730514,0.3962776752610068
0.062317888571228,0.2534223146765879,0.35805048267432077,0.32620931407786347
0.18541239917041347,0.47502035461250336,0.3265517884421414,0.013015457774941721
0.38676925064901757,0.10987198843373856,0.24557274602690082,0.2577860148903431
0.23838791200146223,0.24889290402851166,0.15290473991677817,0.35981444405324786
0.2744730845854891,0.14649224291520163,0.2696666580357111,0.3093680144635982
0.2639182045842354,0.3139013255184659,0.1427705571322759,0.27940991276502264
0.05323817885303663,0.4378109372170499,0.1160033440442884,0.39294753988562503
0.12451164607998774,0.2730006750199583,0.11452573753853854,0.48796194136151555
0.2925541476565416,0.23394798935950525,0.15534049075711584,0.3181573722268374
0.4545981359938371,0.36288004634575965,0.01990475972425883,0.1626170579361445
0.04234176807945556,0.3971574783443219,0.22490699073550594,0.3355937628407167
0.28649790045995804,0.15805206071216513,0.4597803311280105,0.09566970769986623
0.06325013573642198,0.20268150095108042,0.4001017377400368,0.3339666255724608
0.2165975918745478,0.32887634736587795,0.27562328095183214,0.17890277980774208
0.23845470746943462,0.06896852951052497,0.15914600367735116,0.5334307593426892
0.3562536942136031,0.3595230796300282,0.04682711980060669,0.23739610635576197
0.2593481868907923,0.07266695851832802,0.20096858321606773,0.46701627137481194
0.19243149615607247,0.3300974949178176,0.4374357751142856,0.0400352338118244
0.16293582587459632,0.2800622972008043,0.359463670069742,0.1975382068548575
0.2954045053461064,0.20509325771079676,0.20205243251457647,0.2974498044285204
0.19627924190671045,0.3297415207103793,0.35839834353568506,0.11558089384722531
0.01808282119971337,0.5091714657422984,0.09862297349063229,0.3741227395673558
0.1460600943168249,0.4854165218825838,0.001041077433538369,0.367482306367053
